model,split_role,dataset,row_key,threshold,k2_correct,k8_correct,k2_margin,router_decision,router_correct,router_tokens,k2_tokens,k8_tokens,oracle_correct,oracle_tokens
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:206,1.001,False,False,0.0,ESCALATE_TO_K8,False,2558,638,2558,False,320
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:235,1.001,False,False,0.0,ESCALATE_TO_K8,False,2384,596,2384,False,298
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:236,1.001,False,False,0.0,ESCALATE_TO_K8,False,2407,602,2407,False,301
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:237,1.001,False,True,1.0,ESCALATE_TO_K8,True,1860,450,1860,True,220
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:244,1.001,False,False,0.0,ESCALATE_TO_K8,False,2544,636,2544,False,318
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:253,1.001,False,False,0.0,ESCALATE_TO_K8,False,2237,560,2237,False,279
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:263,1.001,False,False,0.0,ESCALATE_TO_K8,False,2357,590,2357,False,295
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:267,1.001,False,False,0.0,ESCALATE_TO_K8,False,2590,648,2590,False,324
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:276,1.001,False,False,0.0,ESCALATE_TO_K8,False,2480,620,2480,False,310
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:293,1.001,False,False,0.0,ESCALATE_TO_K8,False,2583,645,2583,False,323
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:296,1.001,False,False,0.0,ESCALATE_TO_K8,False,2300,575,2300,False,288
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:305,1.001,False,True,0.0,ESCALATE_TO_K8,True,2054,459,2054,True,2054
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:319,1.001,False,False,0.0,ESCALATE_TO_K8,False,2463,616,2463,False,308
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:331,1.001,False,False,0.0,ESCALATE_TO_K8,False,2783,695,2783,False,348
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:336,1.001,False,False,0.0,ESCALATE_TO_K8,False,2335,584,2335,False,292
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:337,1.001,False,False,0.0,ESCALATE_TO_K8,False,2223,556,2223,False,278
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:360,1.001,False,False,0.0,ESCALATE_TO_K8,False,2215,553,2215,False,277
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:375,1.001,False,False,0.0,ESCALATE_TO_K8,False,2344,586,2344,False,293
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:414,1.001,False,False,0.0,ESCALATE_TO_K8,False,2268,566,2268,False,284
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:429,1.001,False,False,0.0,ESCALATE_TO_K8,False,2279,570,2279,False,284
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:469,1.001,False,False,0.0,ESCALATE_TO_K8,False,2390,598,2390,False,299
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:489,1.001,False,False,0.0,ESCALATE_TO_K8,False,2400,600,2400,False,300
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:507,1.001,False,False,0.0,ESCALATE_TO_K8,False,2247,562,2247,False,281
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:542,1.001,False,False,0.0,ESCALATE_TO_K8,False,2384,596,2384,False,298
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:545,1.001,True,False,0.0,ESCALATE_TO_K8,False,2184,518,2184,True,518
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:557,1.001,False,False,0.0,ESCALATE_TO_K8,False,2222,554,2222,False,278
deepseek_r1_distill_qwen_7b,validation_policy_selection,gsm8k,gsm8k:test:583,1.001,False,False,0.0,ESCALATE_TO_K8,False,2432,608,2432,False,304
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:36,0.025,False,False,0.0,ESCALATE_TO_K8,False,2316,559,2316,False,296
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:50,0.025,False,False,0.0,ESCALATE_TO_K8,False,2164,533,2164,False,286
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:57,0.025,False,False,0.0,ESCALATE_TO_K8,False,2517,598,2517,False,327
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:62,0.025,False,False,0.0,ESCALATE_TO_K8,False,2526,634,2526,False,317
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:64,0.025,False,False,0.0,ESCALATE_TO_K8,False,2549,661,2549,False,345
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:91,0.025,False,False,0.0,ESCALATE_TO_K8,False,2163,573,2163,False,287
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:96,0.025,False,False,0.0,ESCALATE_TO_K8,False,1311,298,1311,False,136
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:98,0.025,False,False,0.0,ESCALATE_TO_K8,False,2615,661,2615,False,320
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:111,0.025,False,False,0.0,ESCALATE_TO_K8,False,2397,640,2397,False,313
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:114,0.025,False,False,0.0,ESCALATE_TO_K8,False,2686,694,2686,False,347
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:173,0.025,False,False,0.0,ESCALATE_TO_K8,False,2656,666,2656,False,333
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:204,0.025,False,False,0.0,ESCALATE_TO_K8,False,2131,574,2131,False,223
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:205,0.025,False,False,0.0,ESCALATE_TO_K8,False,2695,673,2695,False,337
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:206,0.025,False,False,0.0,ESCALATE_TO_K8,False,2522,600,2522,False,316
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:235,0.025,False,False,1.0,STOP_AT_K2,False,570,570,2301,False,308
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:236,0.025,False,False,0.0,ESCALATE_TO_K8,False,2179,433,2179,False,251
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:237,0.025,False,False,1.0,STOP_AT_K2,False,353,353,1362,False,170
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:244,0.025,False,False,0.0,ESCALATE_TO_K8,False,2676,672,2676,False,336
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:253,0.025,False,False,0.0,ESCALATE_TO_K8,False,1515,455,1515,False,180
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:263,0.025,False,False,0.0,ESCALATE_TO_K8,False,2271,579,2271,False,306
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:267,0.025,False,False,0.0,ESCALATE_TO_K8,False,2622,659,2622,False,321
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:276,0.025,False,False,0.0,ESCALATE_TO_K8,False,2520,630,2520,False,315
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:293,0.025,False,False,0.0,ESCALATE_TO_K8,False,2621,656,2621,False,328
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:296,0.025,False,False,0.0,ESCALATE_TO_K8,False,2237,576,2237,False,294
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:305,0.025,False,False,1.0,STOP_AT_K2,False,435,435,1401,False,178
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:319,0.025,False,False,0.0,ESCALATE_TO_K8,False,2103,497,2103,False,259
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:331,0.025,False,False,0.0,ESCALATE_TO_K8,False,2831,708,2831,False,354
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:336,0.025,False,False,1.0,STOP_AT_K2,False,602,602,2294,False,254
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:337,0.025,False,False,0.0,ESCALATE_TO_K8,False,2017,501,2017,False,284
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:360,0.025,False,False,0.0,ESCALATE_TO_K8,False,1887,456,1887,True,221
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:375,0.025,False,False,0.0,ESCALATE_TO_K8,False,1501,546,1501,False,302
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:414,0.025,False,True,0.0,ESCALATE_TO_K8,True,1953,582,1953,True,226
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:429,0.025,False,False,0.0,ESCALATE_TO_K8,False,2335,584,2335,False,292
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:469,0.025,False,False,0.0,ESCALATE_TO_K8,False,1775,492,1775,False,322
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:489,0.025,False,False,0.0,ESCALATE_TO_K8,False,2171,434,2171,False,311
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:507,0.025,False,False,0.0,ESCALATE_TO_K8,False,2150,511,2150,False,229
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:542,0.025,False,False,0.0,ESCALATE_TO_K8,False,2099,528,2099,False,258
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:545,0.025,False,False,1.0,STOP_AT_K2,False,282,282,1473,False,158
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:557,0.025,False,False,0.0,ESCALATE_TO_K8,False,2055,490,2055,False,255
mistral_7b_instruct_v0p3,validation_policy_selection,gsm8k,gsm8k:test:583,0.025,False,False,0.0,ESCALATE_TO_K8,False,2413,626,2413,False,312
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:36,0.025,True,False,0.0,ESCALATE_TO_K8,False,2015,486,2015,True,486
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:50,0.025,False,True,1.0,STOP_AT_K2,False,435,435,1713,True,219
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:57,0.025,True,True,1.0,STOP_AT_K2,True,525,525,2106,True,293
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:62,0.025,False,False,1.0,STOP_AT_K2,False,557,557,2276,False,266
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:64,0.025,True,True,0.0,ESCALATE_TO_K8,True,2671,663,2671,True,337
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:91,0.025,True,True,1.0,STOP_AT_K2,True,459,459,1813,True,242
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:96,0.025,True,True,1.0,STOP_AT_K2,True,387,387,1516,True,189
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:98,0.025,False,False,0.0,ESCALATE_TO_K8,False,2435,605,2435,True,277
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:111,0.025,False,True,0.0,ESCALATE_TO_K8,True,2449,640,2449,True,252
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:114,0.025,True,True,1.0,STOP_AT_K2,True,636,636,2580,True,321
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:173,0.025,True,True,1.0,STOP_AT_K2,True,499,499,1989,True,246
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:204,0.025,True,True,1.0,STOP_AT_K2,True,500,500,2085,True,260
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:205,0.025,False,False,0.0,ESCALATE_TO_K8,False,2694,673,2694,False,337
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:206,0.025,True,True,0.0,ESCALATE_TO_K8,True,2478,626,2478,True,626
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:235,0.025,True,True,1.0,STOP_AT_K2,True,387,387,1635,True,210
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:236,0.025,False,False,0.0,ESCALATE_TO_K8,False,2307,618,2307,False,293
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:237,0.025,True,True,1.0,STOP_AT_K2,True,361,361,1434,True,177
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:244,0.025,True,True,0.0,ESCALATE_TO_K8,True,2600,645,2600,True,645
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:253,0.025,True,True,1.0,STOP_AT_K2,True,364,364,1511,True,179
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:263,0.025,True,True,1.0,STOP_AT_K2,True,484,484,2032,True,275
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:267,0.025,False,True,0.0,ESCALATE_TO_K8,True,2499,582,2499,True,2499
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:276,0.025,False,True,0.0,ESCALATE_TO_K8,True,2451,606,2451,True,1231
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:293,0.025,False,True,0.0,ESCALATE_TO_K8,True,2568,656,2568,True,2568
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:296,0.025,True,True,1.0,STOP_AT_K2,True,505,505,2013,True,505
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:305,0.025,True,True,1.0,STOP_AT_K2,True,344,344,1341,True,162
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:319,0.025,True,True,1.0,STOP_AT_K2,True,480,480,1966,True,214
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:331,0.025,False,False,0.0,ESCALATE_TO_K8,False,2848,712,2848,False,356
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:336,0.025,False,True,0.0,ESCALATE_TO_K8,True,2099,557,2099,True,2099
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:337,0.025,True,True,1.0,STOP_AT_K2,True,448,448,1806,True,220
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:360,0.025,True,True,1.0,STOP_AT_K2,True,476,476,1756,True,225
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:375,0.025,True,True,1.0,STOP_AT_K2,True,443,443,1537,True,180
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:414,0.025,True,True,1.0,STOP_AT_K2,True,446,446,1738,True,207
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:429,0.025,True,True,1.0,STOP_AT_K2,True,366,366,1507,True,190
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:469,0.025,True,True,1.0,STOP_AT_K2,True,433,433,1757,True,215
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:489,0.025,True,True,1.0,STOP_AT_K2,True,410,410,1629,True,203
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:507,0.025,True,True,0.0,ESCALATE_TO_K8,True,2002,532,2002,True,246
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:542,0.025,False,False,0.0,ESCALATE_TO_K8,False,2203,574,2203,False,271
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:545,0.025,True,True,1.0,STOP_AT_K2,True,325,325,1298,True,159
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:557,0.025,True,True,1.0,STOP_AT_K2,True,415,415,1644,True,224
qwen2p5_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:583,0.025,False,True,0.0,ESCALATE_TO_K8,True,2403,624,2403,True,2403
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:36,0.025,False,False,0.0,ESCALATE_TO_K8,False,2352,588,2352,False,294
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:50,0.025,False,False,0.0,ESCALATE_TO_K8,False,2296,574,2296,False,287
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:57,0.025,False,False,0.0,ESCALATE_TO_K8,False,2616,654,2616,False,327
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:62,0.025,False,False,0.0,ESCALATE_TO_K8,False,2543,636,2543,False,318
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:64,0.025,False,False,0.0,ESCALATE_TO_K8,False,2743,686,2743,False,343
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:91,0.025,False,False,0.0,ESCALATE_TO_K8,False,2288,572,2288,False,286
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:96,0.025,False,False,1.0,STOP_AT_K2,False,564,564,2255,False,282
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:98,0.025,False,False,0.0,ESCALATE_TO_K8,False,2768,692,2768,False,346
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:111,0.025,False,False,0.0,ESCALATE_TO_K8,False,2559,640,2559,False,320
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:114,0.025,False,False,0.0,ESCALATE_TO_K8,False,2647,661,2647,False,331
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:173,0.025,False,False,0.0,ESCALATE_TO_K8,False,2622,654,2622,False,328
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:204,0.025,False,False,0.0,ESCALATE_TO_K8,False,2477,620,2477,False,310
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:205,0.025,False,False,0.0,ESCALATE_TO_K8,False,2696,674,2696,False,337
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:206,0.025,False,False,0.0,ESCALATE_TO_K8,False,2624,656,2624,False,328
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:235,0.025,False,False,0.0,ESCALATE_TO_K8,False,2448,612,2448,False,306
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:236,0.025,False,False,0.0,ESCALATE_TO_K8,False,2468,617,2468,False,309
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:237,0.025,True,True,1.0,STOP_AT_K2,True,544,544,2117,True,294
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:244,0.025,False,False,0.0,ESCALATE_TO_K8,False,2608,652,2608,False,326
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:253,0.025,True,True,1.0,STOP_AT_K2,True,540,540,2262,True,540
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:263,0.025,False,False,0.0,ESCALATE_TO_K8,False,2421,605,2421,False,303
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:267,0.025,False,False,0.0,ESCALATE_TO_K8,False,2650,663,2650,False,332
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:276,0.025,False,False,0.0,ESCALATE_TO_K8,False,2543,635,2543,False,318
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:293,0.025,False,False,0.0,ESCALATE_TO_K8,False,2648,662,2648,False,331
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:296,0.025,False,False,0.0,ESCALATE_TO_K8,False,2368,592,2368,False,296
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:305,0.025,True,True,1.0,STOP_AT_K2,True,532,532,2123,True,273
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:319,0.025,False,False,0.0,ESCALATE_TO_K8,False,2527,632,2527,False,316
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:331,0.025,False,False,0.0,ESCALATE_TO_K8,False,2846,712,2846,False,356
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:336,0.025,False,False,0.0,ESCALATE_TO_K8,False,2398,600,2398,False,300
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:337,0.025,False,False,0.0,ESCALATE_TO_K8,False,2288,572,2288,False,286
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:360,0.025,False,True,0.0,ESCALATE_TO_K8,True,2277,567,2277,True,2277
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:375,0.025,True,True,1.0,STOP_AT_K2,True,596,596,2324,True,596
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:414,0.025,False,False,0.0,ESCALATE_TO_K8,False,2335,584,2335,False,292
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:429,0.025,False,False,0.0,ESCALATE_TO_K8,False,2343,586,2343,False,293
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:469,0.025,False,False,0.0,ESCALATE_TO_K8,False,2455,614,2455,False,307
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:489,0.025,False,True,0.0,ESCALATE_TO_K8,True,2441,615,2441,True,301
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:507,0.025,False,False,0.0,ESCALATE_TO_K8,False,2312,578,2312,False,289
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:542,0.025,False,False,0.0,ESCALATE_TO_K8,False,2447,612,2447,False,306
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:545,0.025,True,True,1.0,STOP_AT_K2,True,542,542,2148,True,227
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:557,0.025,False,False,0.0,ESCALATE_TO_K8,False,2287,571,2287,False,286
qwen2p5_math_7b_instruct,validation_policy_selection,gsm8k,gsm8k:test:583,0.025,False,False,0.0,ESCALATE_TO_K8,False,2496,624,2496,False,311
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:644,1.001,False,False,0.0,ESCALATE_TO_K8,False,2343,585,2343,False,292
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:716,1.001,False,False,0.0,ESCALATE_TO_K8,False,2440,610,2440,False,305
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:732,1.001,False,False,0.0,ESCALATE_TO_K8,False,2392,598,2392,False,299
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:746,1.001,False,False,0.0,ESCALATE_TO_K8,False,2680,670,2680,False,335
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:793,1.001,False,False,0.0,ESCALATE_TO_K8,False,2487,621,2487,False,311
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:804,1.001,False,False,0.0,ESCALATE_TO_K8,False,2471,618,2471,False,309
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:834,1.001,False,False,0.0,ESCALATE_TO_K8,False,2307,578,2307,False,289
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:844,1.001,False,False,0.0,ESCALATE_TO_K8,False,2326,582,2326,False,291
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:849,1.001,False,False,0.0,ESCALATE_TO_K8,False,2272,568,2272,False,284
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:890,1.001,False,False,0.0,ESCALATE_TO_K8,False,2320,580,2320,False,290
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:896,1.001,False,False,0.0,ESCALATE_TO_K8,False,2326,582,2326,False,291
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:911,1.001,False,False,0.0,ESCALATE_TO_K8,False,2416,604,2416,False,302
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:922,1.001,False,False,0.0,ESCALATE_TO_K8,False,2231,558,2231,False,279
deepseek_r1_distill_qwen_7b,test_in_domain,gsm8k,gsm8k:test:925,1.001,False,False,0.0,ESCALATE_TO_K8,False,2605,651,2605,False,326
