event_index,timestamp_utc,timestamp_ms,timestamp_ns,day,day_title,stage_label,hosts,description
11,2019-09-23T11:40:41Z,1569238841000,1569238841000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0201,"On Sysclient0201 agent LUAVR71T, obtained process listing by running ps through PowerShell"
12,2019-09-23T11:41:50Z,1569238910000,1569238910000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On Sysclient0201 agent LUAVR71T, retried psinject into LSASS"
13,2019-09-23T12:51:59Z,1569243119000,1569243119000000000,1,Plain PowerShell Empire,command_and_control,sysclient0201,"On Sysclient0201 agent LUAVR71T, collected data collection by obtaining a screenshot of the desktop."
14,2019-09-23T12:58:20Z,1569243500000,1569243500000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0201,"On Sysclient0201 agent LUAVR71T, conducted ARP scan on /22 of 142.20.56.202"
15,2019-09-23T13:07:11Z,1569244031000,1569244031000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0201,"On Sysclient0201 agent LUAVR71T, ARP scan failed. Attempted to use SMB on 142.20.56.204 with credentials from Sysclient0201"
16,2019-09-23T13:08:28Z,1569244108000,1569244108000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0201,"On Sysclient0201 agent LUAVR71T, re-attempted ARP scan without setting any values."
17,2019-09-23T13:15:48Z,1569244548000,1569244548000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0201,"On Sysclient0201 agent LUAVR71T, executed ping sweep against 142.20.56.0/24"
18,2019-09-23T13:24:36Z,1569245076000,1569245076000000000,1,Plain PowerShell Empire,lateral_movement,sysclient0201;sysclient0402,"On Sysclient0201 agent LUAVR71T, pivoted to Sysclient0402 using invoke_wmi"
19,2019-09-23T13:25:41Z,1569245141000,1569245141000000000,1,Plain PowerShell Empire,command_and_control,sysclient0402,On sysclient0402 agent NEK5H8GX checked in as an elevated agent
20,2019-09-23T13:29:47Z,1569245387000,1569245387000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0402,"On Sysclient0402 agent NEK5H8GX, imported and ran ping sweep script to run against 142.20.57.0/24"
21,2019-09-23T13:35:22Z,1569245722000,1569245722000000000,1,Plain PowerShell Empire,lateral_movement,sysclient0402;sysclient0660,"On Sysclient0402 agent NEK5H8GX, pivoted to Sysclient0660 using invoke_wmi. Agent DS29HY41 checks in."
22,2019-09-23T13:38:31Z,1569245911000,1569245911000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0660,"On Sysclient0660 agent DS29HY41, used ipconfig to obtain IP"
23,2019-09-23T13:40:38Z,1569246038000,1569246038000000000,1,Plain PowerShell Empire,credential_access,sysclient0660,"On Sysclient0660 agent DS29HY41, used Mimikatz to obtain clear-text passwords from memory The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the U.S. Government. DISTRIBUTION A. Approved for public release: distribution unlimited."
24,2019-09-23T13:44:23Z,1569246263000,1569246263000000000,1,Plain PowerShell Empire,command_and_control,sysclient0660,"On Sysclient0660 agent DS29HY41, attempted to migrate to local user process with psinject. Failed to inject."
25,2019-09-23T13:49:00Z,1569246540000,1569246540000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0660,"On Sysclient0660 agent DS29HY41, obtained list of processes with ps"
26,2019-09-23T13:50:56Z,1569246656000,1569246656000000000,1,Plain PowerShell Empire,command_and_control,sysclient0660,"On Sysclient0660 agent DS29HY41, attempted to inject shellcode into process ID 4480. Injection failed."
27,2019-09-23T13:54:11Z,1569246851000,1569246851000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0660,"On Sysclient0660 agent DS29HY41, executed script to return domain controller information."
28,2019-09-23T13:56:48Z,1569247008000,1569247008000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0660,"On Sysclient0660 agent DS29HY41, imported and ran PowerShell script to find domain controllers"
29,2019-09-23T14:02:12Z,1569247332000,1569247332000000000,1,Plain PowerShell Empire,command_and_control,sysclient0660,"On Sysclient0660 agent DS29HY41, downloaded file zipfldr.dll"
30,2019-09-23T14:04:45Z,1569247485000,1569247485000000000,1,Plain PowerShell Empire,reconnaissance,sysclient0660,"On Sysclient0660 agent DS29HY41, used invoke_wmi to pivot to domain controller 1. XH32VTK5 checks in on IP 142.20.58.149"
31,2019-09-23T14:06:01Z,1569247561000,1569247561000000000,1,Plain PowerShell Empire,attack_activity,sysclient0201;sysclient0402;sysclient0660,"Killed agents Sysclient0201 LUAVR71T, Sysclient0402 NEK5H8GX, and Sysclient0660 DS29HY41"
32,2019-09-23T14:07:21Z,1569247641000,1569247641000000000,1,Plain PowerShell Empire,credential_access,dc1,"On DC1 agent XH32VTK5, ran Mimikatz"
33,2019-09-23T14:09:21Z,1569247761000,1569247761000000000,1,Plain PowerShell Empire,credential_access,dc1,"On DC1 agent XH32VTK5, gathered user hdorka's hashes using Mimikatz' lsadump capability"
34,2019-09-23T14:45:13Z,1569249913000,1569249913000000000,1,Plain PowerShell Empire,lateral_movement,dc1;sysclient0104;sysclient0170;sysclient0205;sysclient0255;sysclient0321;sysclient0355;sysclient0419;sysclient0462;sysclient0503;sysclient0559;sysclient0609;sysclient0771;sysclient0874;sysclient0955,"On DC1 agent XH32VTK5, used Invoke_wmi to spread to: SYSCLIENT0104, SYSCLIENT0170, SYSCLIENT0205, SYSCLIENT0255, SYSCLIENT0321, SYSCLIENT0355, SYSCLIENT0419, SYSCLIENT0462, SYSCLIENT0503, SYSCLIENT0559, SYSCLIENT0609, SYSCLIENT0771, SYSCLIENT0874, SYSCLIENT0955"
35,2019-09-23T15:24:33Z,1569252273000,1569252273000000000,1,Plain PowerShell Empire,command_and_control,dc1;sysclient0104;sysclient0170;sysclient0205;sysclient0255;sysclient0321;sysclient0355;sysclient0419;sysclient0462;sysclient0503;sysclient0559;sysclient0609;sysclient0771;sysclient0874;sysclient0955,"On DC1 agent XH32VTK5, killed agents on: SYSCLIENT0104, SYSCLIENT0170, SYSCLIENT0205, SYSCLIENT0255, SYSCLIENT0321, SYSCLIENT0355, SYSCLIENT0419, SYSCLIENT0462, SYSCLIENT0503, SYSCLIENT0559, SYSCLIENT0609, SYSCLIENT0771, SYSCLIENT0874, SYSCLIENT0955"
36,2019-09-23T15:30:00Z,1569252600000,1569252600000000000,1,Plain PowerShell Empire,reconnaissance,dc1;sysclient0010;sysclient0069;sysclient0201;sysclient0203;sysclient0358;sysclient0501;sysclient0618;sysclient0811;sysclient0851,"On Sysclient0201, removed registry persistence at HKCU:Software\Microsoft\Windows\CurrentVersion\Debug Summary: Sent phishing emails to two clients containing malicious macroless_word PowerShell empire stagers. Once checked in, the agents were used to switch to a separate PowerShell Empire server, with configurations that were modified from default settings and were sent over https (port 443). Deathstar was used to automate enumerating the domain and obtaining an elevated shell on the domain controller. The DC agent was used to pivot back to original target to obtain an elevated agent. Persistence was established using WMI subscriptions to call back at 10:00 or within 5 minutes of boot. Ran modules to enumerate the local system looking for vulnerabilities or important files. Uploaded plink and created completed local port forwarding with SSH to the attacker server. Forwarded port 3389 to allow RDP into systemia through any network security devices. RDP’ed into target and used netcat to exfiltrate data. Used RDP to tunnel through two other hosts. On the final host, connected network share and exfiltrated a majority of files via netcat. The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the U.S. Government. DISTRIBUTION A. Approved for public release: distribution unlimited. Cleaned up files and shut down RDP sessions. Used existing agent on DC to re-infect five workstations for overnight C2. Listener information: PowerShell launcher string -- ""powershell -NoProfile -Sta -WindowStyle 1 - EncodedCommand"" DefaultProfile -- ""/news/current.php/login/default.php/admin/process.jsp|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.167 Safari/537.36"" DefaultDelay Between connections -- 30 seconds ServerVersion -- Apache IP: 202.6.172.98 Client  Agent  IP  PID Sysclient0501  4BW2MKUF  142.20.57.246  648 Sysclient0501  9HUGDCRL  142.20.57.246  5076 Sysclient0501  6H8SZPCW  142.20.57.246  1748 Sysclient0811  DS8V3RNH  142.20.59.44  3780 DC1.systemia.com VUBW3KYE  142.20.61.130  3880 Sysclient0010  6FEZ8L4N  142.20.56.11  3584 Sysclient0069  EMK3VW7F  142.20.56.70  4152 Sysclient0203  UXCSTKZ9  142.20.56.204  5388 Sysclient0358  PE54DBYX  142.20.57.103  2984 Sysclient0618  73FCWS1G  142.20.58.107  4060 Sysclient0851  5BUEZALX  142.20.59.84  4652 Log:"
37,2019-09-24T10:28:56Z,1569320936000,1569320936000000000,2,Custom Powershell Empire,attack_activity,sysclient0811,Sent email with malicious word document to bantonio@systemia.com rsantilli@systemia.com on Sysclient0811 from sgerard@ameblo.jp
38,2019-09-24T10:36:51Z,1569321411000,1569321411000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"On Sysclient0501, opened malicious attachment named payroll.docx. Agent K3G1U8DN checks in."
39,2019-09-24T10:40:14Z,1569321614000,1569321614000000000,2,Custom Powershell Empire,command_and_control,sysclient0811,"On Sysclient0811, opened malicious attachment named payroll.docx. Agent DS8V3RNH checks in."
40,2019-09-24T10:46:02Z,1569321962000,1569321962000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 agent K3G1U8DN, injected PowerShell script to pivot to PowerShell Empire on  sports.com 202.6.172.98 port 443, Agent 4BW2MKUF checks in."
41,2019-09-24T10:51:49Z,1569322309000,1569322309000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,Killed agent K3G1U8DN on Sysclient0501
42,2019-09-24T11:03:36Z,1569323016000,1569323016000000000,2,Custom Powershell Empire,reconnaissance,,Started DeathStar to auto find and obtain access to domain controller
43,2019-09-24T11:04:12Z,1569323052000,1569323052000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, obtains domain SID"
44,2019-09-24T11:04:35Z,1569323075000,1569323075000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, obtains list of 43 Domain Admins"
45,2019-09-24T11:05:39Z,1569323139000,1569323139000000000,2,Custom Powershell Empire,reconnaissance,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, queried to find domain controllers"
46,2019-09-24T11:09:08Z,1569323348000,1569323348000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, started lateral movement"
47,2019-09-24T11:09:22Z,1569323362000,1569323362000000000,2,Custom Powershell Empire,privilege_escalation,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, started domain privilege escalation The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the U.S. Government. DISTRIBUTION A. Approved for public release: distribution unlimited."
48,2019-09-24T11:09:44Z,1569323384000,1569323384000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, attempting to elevate using bypassuac_eventvwr"
49,2019-09-24T11:10:32Z,1569323432000,1569323432000000000,2,Custom Powershell Empire,credential_access,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, searched for GPOs containing credentials using GPP SYSVOL privilege escalation"
50,2019-09-24T11:13:32Z,1569323612000,1569323612000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"Deathstar via Sysclient0501 agent 4BW2MKUF, discovered current security context has admin to 1025 hosts."
51,2019-09-24T11:20:19Z,1569324019000,1569324019000000000,2,Custom Powershell Empire,reconnaissance,dc1;sysclient0501,"On Sysclient0501 agent 4BW2MKUF, installed elevated agent on domain controller. Agent VUBW3KYE on DC1.systemia.com checks in."
52,2019-09-24T11:23:27Z,1569324207000,1569324207000000000,2,Custom Powershell Empire,persistence,sysclient0501,"On Sysclient0501 agent 4BW2MKUF, attempted to bypassed UAC with module privesc/bypassuac_env which modifies registry entry of windir value in environment"
53,2019-09-24T11:23:45Z,1569324225000,1569324225000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"On Sysclient0501 agent 4BW2MKUF, privesc failed."
54,2019-09-24T11:25:06Z,1569324306000,1569324306000000000,2,Custom Powershell Empire,privilege_escalation,sysclient0501,"On Sysclient0501 agent 4BW2MKUF, attempted bypassuac with privesc/bypassuac_fodhelper. Failed."
55,2019-09-24T11:26:34Z,1569324394000,1569324394000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 agent 4BW2MKUF, used invoke_wmi on localhost to obtain elevated Agent. Failed to elevated, normal agent 9HUGDCRL checked in."
56,2019-09-24T11:31:17Z,1569324677000,1569324677000000000,2,Custom Powershell Empire,lateral_movement,dc1;sysclient0501,"On agent VUBW3KYE, attempted to pivot to obtain elevated agent using WMI. Got access denied for DC1.systemia.com Sysclient0501 and 0502"
57,2019-09-24T11:33:15Z,1569324795000,1569324795000000000,2,Custom Powershell Empire,command_and_control,dc1;sysclient0501,"On agent VUBW3KYE, pivoted to Sysclient0501 with an elevated agent by usign administrator DC1.systemia.com credentials. Agent 6H8SZPCW checks in."
58,2019-09-24T11:34:56Z,1569324896000,1569324896000000000,2,Custom Powershell Empire,persistence,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, set persistence using WMI subscription. Set to reach back at 10:00 every day or within 5 minutes of boot."
59,2019-09-24T11:35:53Z,1569324953000,1569324953000000000,2,Custom Powershell Empire,attack_activity,sysclient0501,Killed agents Sysclient0501 4BW2MKUF and Sysclient0501 9HUGDCRL
60,2019-09-24T11:37:35Z,1569325055000,1569325055000000000,2,Custom Powershell Empire,reconnaissance,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, used findtrusteddocuments to enumerate registry to determine any trusted documents and trusted locations."
61,2019-09-24T11:39:38Z,1569325178000,1569325178000000000,2,Custom Powershell Empire,reconnaissance,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, used winenum script with keywords ""important, Secret, classified"" to search files and obtain host information"
62,2019-09-24T11:41:53Z,1569325313000,1569325313000000000,2,Custom Powershell Empire,privilege_escalation,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, ran script to check for windows privilege escalation vectors. 09/24/19 11:45:13 -- On Sysclient0501 agent 6H8SZPCW, uploaded plink.exe"
63,2019-09-24T13:05:03Z,1569330303000,1569330303000000000,2,Custom Powershell Empire,command_and_control,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, validated upload worked with ls command"
64,2019-09-24T13:11:23Z,1569330683000,1569330683000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 agent 6H8SZPCW, started reverse SSH connection to port forward RDP port to attacker system. Lost contact with agent 6H8SZPCW."
65,2019-09-24T13:19:38Z,1569331178000,1569331178000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501, connected via RDP to host via forwarded port using sysadmin account."
66,2019-09-24T13:25:46Z,1569331546000,1569331546000000000,2,Custom Powershell Empire,command_and_control,,Agent DS8V3RNH lost contact.
67,2019-09-24T13:26:57Z,1569331617000,1569331617000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 via RDP session, downloaded fileTransfer1000.exe (nc.exe) from news.com:8080 via chrome."
68,2019-09-24T13:31:29Z,1569331889000,1569331889000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 via RDP session, compressed documents in C:\documents for exfiltration."
69,2019-09-24T13:44:34Z,1569332674000,1569332674000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 via RDP session, exfiltrated export.zip to port 9999 using fileTransfer1000.exe (nc.exe) news.com"
70,2019-09-24T13:45:12Z,1569332712000,1569332712000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,"On Sysclient0501 via RDP session, cleaned up fileTransfer1000.exe and export.zip"
71,2019-09-24T13:46:58Z,1569332818000,1569332818000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501;sysclient0974,"On Sysclient0501 via RDP session, RDPed to Sysclient0974 The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the U.S. Government. DISTRIBUTION A. Approved for public release: distribution unlimited."
72,2019-09-24T13:51:45Z,1569333105000,1569333105000000000,2,Custom Powershell Empire,lateral_movement,sysclient0974,"On Sysclient0974 via RDP session, browsed files in C:\documents"
73,2019-09-24T13:54:43Z,1569333283000,1569333283000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005;sysclient0974,"On Sysclient0974 via RDP session, RDPed to Sysclient0005"
74,2019-09-24T14:06:06Z,1569333966000,1569333966000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,"On Sysclient0005 via RDP session, mounted network share \\142.20.61.135\share"
75,2019-09-24T14:34:31Z,1569335671000,1569335671000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,"On Sysclient0005 via RDP session, added majority of share drive files to compressed folder name allgone.zip and moved to user Download folder."
76,2019-09-24T14:37:02Z,1569335822000,1569335822000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,"On Sysclient0005 via RDP session, navigated to news.com:4445 and downloaded movingonup.exe (nc.exe)"
77,2019-09-24T15:04:14Z,1569337454000,1569337454000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,"On Sysclient0005 via RDP session, exported 3.5 gb exfil file allgona.zip"
78,2019-09-24T15:22:48Z,1569338568000,1569338568000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,"On Sysclient0005 via RDP session, cleaned up files in downloads folder"
79,2019-09-24T15:23:26Z,1569338606000,1569338606000000000,2,Custom Powershell Empire,lateral_movement,sysclient0005,On Sysclient0005 closed RDP session.
80,2019-09-24T15:27:32Z,1569338852000,1569338852000000000,2,Custom Powershell Empire,lateral_movement,sysclient0974,On Sysclient0974 closed RDP session.
81,2019-09-24T15:28:36Z,1569338916000,1569338916000000000,2,Custom Powershell Empire,lateral_movement,sysclient0501,On Sysclient0501 closed RDP session.
82,2019-09-24T15:42:36Z,1569339756000,1569339756000000000,2,Custom Powershell Empire,lateral_movement,dc1;sysclient0010;sysclient0069;sysclient0203;sysclient0358;sysclient0618;sysclient0851,"On DC1.systemia.com agent VUBW3KYE, used invoke_wmi to spread to Sysclient0010, Sysclient0069, Sysclient0203, Sysclient0358, Sysclient0618, Sysclient0851"
83,2019-09-25T09:00:00Z,1569402000000,1569402000000000000,2,Custom Powershell Empire,execution,dc1;sysclient0010;sysclient0069;sysclient0203;sysclient0358;sysclient0618;sysclient0851,"Agents ran overnight on:  DC1.systemia.com VUBW3KYE, Sysclient0010 6FEZ8L4N, Sysclient0069 EMK3VW7F, Sysclient0203 UXCSTKZ9, Sysclient0358 PE54DBYX, Sysclient0618 73FCWS1G, Sysclient0851 5BUEZALX"
84,2019-09-25T10:00:00Z,1569405600000,1569405600000000000,2,Custom Powershell Empire,reconnaissance,sysclient0051;sysclient0351,"Sysclinet0501 WMI Subscription persistence method activates, agent XVGHS45M checks in. Summary: Notepad plus was installed on hosts within Systemia but was susceptible to a malicious upgrade process. When updated, the software reached out to malicious server and downloaded a binary named update.exe. The malicious binary contained a reverse TCP Meterpreter payload. It connected back to the server on port 8080. The software update was executed on two systems. Once a connection was established, system level access was obtained. A shell was used to find local information and a network ARP scan was used to identify potential targets. Built in Meterpreter modules were used to enumerate local software and any shares. The Meterpreter agent was migrated from the initial one to LSASS, and Mimikatz was used to collect clear text password and hashes. Persistence was established via an autorun registry entry. Timestomper was used to “black” the MAC times for files created by the persistence process. Added new admin user to attempt RDP connection. On one client, Meterpreter was used to migrate to the lwabeat process. Attacker Server DNS Names: notepadplus-sourceforge.net microsoft.com IP: 53.192.68.50 Meterpreter process on Sysclient0051 The views and conclusions contained in this document are those of the authors and should not be interpreted as representing the official policies, either expressed or implied, of the Defense Advanced Research Projects Agency or the U.S. Government. DISTRIBUTION A. Approved for public release: distribution unlimited. PID 2712 cKfGW.exe Migrated to LSASS Meterpreter process on Sysclient0351 PID 1932 f.exe Migrated to lwabeats Log:"
85,2019-09-25T10:29:42Z,1569407382000,1569407382000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, updated notepad++, which downloaded malicious binary ""update.exe"" which is a Meterpreter payload."
86,2019-09-25T10:31:08Z,1569407468000,1569407468000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, obtained system via Meterpreter’s get system module. Used named pipe impersonation in memory."
87,2019-09-25T10:32:11Z,1569407531000,1569407531000000000,3,Malicious Upgrade,execution,sysclient0051,"On Sysclient0051, used Meterpreter to get CMD shell. Ran commands to find out information about local system."
88,2019-09-25T10:33:55Z,1569407635000,1569407635000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, used ARP scanner on 142.20.56.0/22"
89,2019-09-25T10:36:28Z,1569407788000,1569407788000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, used Meterpreter enum modules to discover all installed applications"
90,2019-09-25T10:37:52Z,1569407872000,1569407872000000000,3,Malicious Upgrade,reconnaissance,sysclient0051,On Sysclient0051 used Meterpreter enum_domain modules to identify domain controller
91,2019-09-25T10:38:35Z,1569407915000,1569407915000000000,3,Malicious Upgrade,attack_activity,,"On Sysclient 0051, used Meterpreter enum_shares to identify any shares on host"
92,2019-09-25T10:40:39Z,1569408039000,1569408039000000000,3,Malicious Upgrade,attack_activity,,"On Sysclient 0051, migrated from process 2712 cKfGW.exe to LSASS 568"
93,2019-09-25T10:44:56Z,1569408296000,1569408296000000000,3,Malicious Upgrade,credential_access,sysclient0051,"On Sysclient0051, ran Mimikatz to collect clear-text passwords and hashes"
94,2019-09-25T10:48:43Z,1569408523000,1569408523000000000,3,Malicious Upgrade,execution,sysclient0051,"On Sysclient0051, established persistence via Meterpreter. Script written to C:\Windows\TEMP\myHbYXTpViwX.vbx. Installed Autorun at HKLM\Software\Microsoft\Windows\CurrentVersion\Run\RTqWaEHv"
95,2019-09-25T10:53:06Z,1569408786000,1569408786000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, used timestomp to edit MAC times of created files in C:\Windows\TEMP"
96,2019-09-25T11:07:41Z,1569409661000,1569409661000000000,3,Malicious Upgrade,lateral_movement,sysclient0051,"On Sysclient0051, used get_gui to add administrator ""admin"" to administrators and RDP group"
97,2019-09-25T11:23:31Z,1569410611000,1569410611000000000,3,Malicious Upgrade,attack_activity,sysclient0351,"On Sysclient0351, conducted update to notepadd++, which downloaded malicious update.exe binary which made connection back to attacker server"
98,2019-09-25T11:24:30Z,1569410670000,1569410670000000000,3,Malicious Upgrade,attack_activity,sysclient0351,"On Sysclient0351, migrated from process 1932 to 1256 lwabeat."
99,2019-09-25T13:42:05Z,1569418925000,1569418925000000000,3,Malicious Upgrade,attack_activity,sysclient0051,"On Sysclient0051, RDPed to machine from attacker server."
100,2019-09-25T14:24:03Z,1569421443000,1569421443000000000,3,Malicious Upgrade,attack_activity,sysclient0051,Reran updated.exe on Sysclient0051
