id,technique_id,expected_output,bucket,top_option,top_matches_expected,top_score,second_option,second_score,margin,options_ge_10,options_ge_4,relationship_evidence_count,primary_addressable,question
cti_mcq_12,T1110.002,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,B,14.0,0.0,3,3,6,False,"According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?"
cti_mcq_13,T1110.002,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,A,14.0,0.0,2,2,6,False,Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?
cti_mcq_14,T1110.002,C,UNSUPPORTED,C,True,0.75,B,0.3333,0.4167,0,0,6,False,What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?
cti_mcq_15,T1110.001,B,UNSUPPORTED,A,False,0.6,B,0.5,0.09999999999999998,0,0,6,False,How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?
cti_mcq_16,T1110.001,C,UNSUPPORTED,C,True,0.5,B,0.3333,0.16670000000000001,0,0,6,False,APT29 (G0016) used T1110.001 to attack which type of targets?
cti_mcq_17,T1110.001,B,UNSUPPORTED,A,False,0.1667,D,0.125,0.04169999999999999,0,0,5,False,Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?
cti_mcq_18,T1110.001,C,CONFLICTING_HIGH_SUPPORT,C,True,14.0,B,14.0,0.0,3,3,6,False,Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?
cti_mcq_19,T1110.001,D,DECISIVE,D,True,14.0,B,0.5,13.5,1,1,6,True,Which service is commonly targeted by T1110.001 via TCP port 1433?
cti_mcq_20,T1110.001,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which tool allows brute-forcing across an entire network as part of T1110.001?
cti_mcq_21,T1110,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,3,3,6,False,In which scenario might an adversary combine brute forcing activity with External Remote Services?
cti_mcq_22,T1110,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,3,3,6,False,Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?
cti_mcq_23,T1110,C,DECISIVE,C,True,14.0,D,0.0,14.0,1,1,6,True,"According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?"
cti_mcq_24,T1110,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which procedure example includes the use of Ncrack to reveal credentials?
cti_mcq_25,T1110,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?
cti_mcq_26,T1185,A,CONFLICTING_HIGH_SUPPORT,C,False,14.0,A,14.0,0.0,2,2,6,False,"Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?"
cti_mcq_27,T1185,C,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?
cti_mcq_28,T1185,B,UNSUPPORTED,B,True,0.5,C,0.3333,0.16670000000000001,0,0,6,False,What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?
cti_mcq_29,T1185,C,DECISIVE,C,True,14.0,B,0.5,13.5,1,1,6,True,Which mitigation could help restrict exposure to browser pivoting techniques like T1185?
cti_mcq_30,T1185,B,DECISIVE,A,False,14.0,B,0.8,13.2,1,1,6,True,How does Grandoreiro implement browser session hijacking techniques?
cti_mcq_31,T1217,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,"In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type ""\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?"
cti_mcq_32,T1217,A,WEAK_SINGLE_SOURCE,A,True,4.0,C,0.5,3.5,0,1,6,False,"Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?"
cti_mcq_33,T1217,D,AMBIGUOUS_MULTI_SOURCE,D,True,4.0,C,4.0,0.0,0,3,6,False,Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?
cti_mcq_34,T1217,C,UNSUPPORTED,D,False,0.5,C,0.5,0.0,0,0,6,False,What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?
cti_mcq_35,T1176,D,UNSUPPORTED,C,False,0.5,B,0.2,0.3,0,0,6,False,"In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?"
cti_mcq_36,T1176,C,UNSUPPORTED,D,False,0.5,A,0.3333,0.16670000000000001,0,0,6,False,Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?
cti_mcq_37,T1176,B,WEAK_SINGLE_SOURCE,B,True,4.0,C,0.6667,3.3333,0,1,6,False,Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?
cti_mcq_38,T1176,B,DECISIVE,B,True,14.0,C,0.5714,13.4286,1,1,6,True,What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?
cti_mcq_39,T1176,C,UNSUPPORTED,B,False,0.4,C,0.3333,0.06670000000000004,0,0,6,False,"According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?"
cti_mcq_40,T1037.005,C,DECISIVE,C,True,14.0,D,0.3333,13.6667,1,1,6,True,Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?
cti_mcq_41,T1037.005,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,B,14.0,0.0,3,3,6,False,Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?
cti_mcq_42,T1037.004,C,WEAK_SINGLE_SOURCE,C,True,4.0,B,0.8,3.2,0,1,6,False,Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004)
cti_mcq_43,T1037.004,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,3,3,6,False,Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004)
cti_mcq_44,T1037.004,C,DECISIVE,C,True,14.0,B,0.3333,13.6667,1,1,6,True,What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022)
cti_mcq_45,T1037.003,C,DECISIVE,C,True,14.0,D,0.75,13.25,1,1,6,True,Which mitigation is recommended for restricting write access to network logon scripts?
cti_mcq_46,T1037.003,D,UNSUPPORTED,D,True,0.6667,C,0.5,0.16669999999999996,0,0,6,False,What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?
cti_mcq_47,T1037.002,B,UNSUPPORTED,D,False,0.5714,B,0.5455,0.025900000000000034,0,0,6,False,What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?
cti_mcq_48,T1037.002,C,DECISIVE,C,True,14.0,A,0.5,13.5,1,1,6,True,Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?
cti_mcq_49,T1037.002,D,UNSUPPORTED,D,True,0.75,C,0.6667,0.08330000000000004,0,0,6,False,"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?"
cti_mcq_50,T1134.004,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,2,2,6,False,"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?"
cti_mcq_51,T1037,B,DECISIVE,A,False,14.0,D,0.0,14.0,1,1,6,True,Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?
cti_mcq_52,T1037,C,CONFLICTING_HIGH_SUPPORT,C,True,14.0,A,14.0,0.0,2,2,6,False,Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?
cti_mcq_53,T1037,D,DECISIVE,D,True,14.0,C,4.0,10.0,1,3,6,True,Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?
cti_mcq_54,T1535,C,DECISIVE,C,True,14.0,A,0.5,13.5,1,1,6,True,Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?
cti_mcq_55,T1535,A,UNSUPPORTED,A,True,0.8,B,0.5714,0.22860000000000003,0,0,6,False,"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?"
cti_mcq_56,T1550.001,C,DECISIVE,C,True,14.0,A,0.5,13.5,1,1,6,True,Which tactic does MITRE ATT&CK technique T1550.001 pertain to?
cti_mcq_57,T1550.001,B,UNSUPPORTED,D,False,0.75,B,0.2857,0.4643,0,0,6,False,What is the primary purpose of application access tokens as described in T1550.001?
cti_mcq_58,T1550.001,C,WEAK_SINGLE_SOURCE,B,False,4.0,A,0.5,3.5,0,1,6,False,Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?
cti_mcq_59,T1550.001,C,UNSUPPORTED,C,True,0.75,D,0.3333,0.4167,0,0,6,False,"During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?"
cti_mcq_60,T1550.001,A,AMBIGUOUS_MULTI_SOURCE,D,False,4.0,C,4.0,0.0,0,3,6,False,Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?
cti_mcq_61,T1550.001,C,DECISIVE,C,True,14.0,D,0.3333,13.6667,1,1,6,True,"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?"
cti_mcq_62,T1550.002,B,UNSUPPORTED,B,True,0.5714,D,0.5,0.07140000000000002,0,0,6,False,What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?
cti_mcq_63,T1550.002,B,DECISIVE,D,False,14.0,C,0.0,14.0,1,1,6,True,Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?
cti_mcq_64,T1550.002,B,UNSUPPORTED,B,True,0.5,D,0.4,0.09999999999999998,0,0,6,False,How does 'Overpass the Hash' differ from 'Pass the Hash'?
cti_mcq_65,T1550.002,B,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?
cti_mcq_66,T1550.002,C,DECISIVE,C,True,14.0,D,0.5,13.5,1,1,6,True,Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?
cti_mcq_67,T1550.002,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,3,3,6,False,Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?
cti_mcq_68,T1550.003,C,UNSUPPORTED,B,False,0.8,A,0.6,0.20000000000000007,0,0,6,False,Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?
cti_mcq_69,T1550.003,C,DECISIVE,C,True,14.0,D,4.0,10.0,1,2,6,True,"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?"
cti_mcq_70,T1550.003,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,C,14.0,0.0,4,4,6,False,Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?
cti_mcq_71,T1550.003,C,UNSUPPORTED,A,False,0.8,C,0.4,0.4,0,0,6,False,How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?
cti_mcq_72,T1550.003,B,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?"
cti_mcq_73,T1550.004,D,UNSUPPORTED,D,True,0.8333,B,0.5,0.33330000000000004,0,0,6,False,"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?"
cti_mcq_74,T1550.004,B,DECISIVE,B,True,14.0,D,0.0,14.0,1,1,6,True,"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?"
cti_mcq_75,T1204.001,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_76,T1204.001,B,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_77,T1204.001,B,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_78,T1204.001,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,C,14.0,0.0,4,4,6,False,Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_79,T1204.001,B,DECISIVE,B,True,14.0,D,0.0,14.0,1,1,6,True,What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_80,T1204.001,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link)
cti_mcq_81,T1204.002,B,CONFLICTING_HIGH_SUPPORT,C,False,14.0,D,10.0,4.0,3,3,6,False,"According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?"
cti_mcq_82,T1204.002,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?
cti_mcq_83,T1204.002,B,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?"
cti_mcq_84,T1204.002,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,3,3,6,False,Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?
cti_mcq_85,T1204.002,C,CONFLICTING_HIGH_SUPPORT,C,True,14.0,B,14.0,0.0,3,3,6,False,Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?
cti_mcq_86,T1204.002,A,CONFLICTING_HIGH_SUPPORT,B,False,14.0,A,14.0,0.0,2,2,6,False,"In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?"
cti_mcq_87,T1204.003,B,AMBIGUOUS_MULTI_SOURCE,D,False,4.0,C,4.0,0.0,0,3,6,False,Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?
cti_mcq_88,T1204.003,C,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?
cti_mcq_89,T1204.003,C,UNSUPPORTED,D,False,0.6667,C,0.6667,0.0,0,0,6,False,Which data source would be most effective in detecting the creation of new containers from potentially malicious images?
cti_mcq_90,T1204.003,B,WEAK_SINGLE_SOURCE,B,True,4.0,A,0.4,3.6,0,1,6,False,The cyber threat group TeamTNT is known for relying on which of the following methods to execute their attacks?
cti_mcq_91,T1134.005,B,CONFLICTING_HIGH_SUPPORT,B,True,14.0,A,14.0,0.0,2,2,6,False,"In the context of MITRE ATT&CK Enterprise, which tool uses the MISC::AddSid module for SID-History Injection?"
cti_mcq_92,T1134.005,C,UNSUPPORTED,C,True,0.8889,A,0.5,0.3889,0,0,6,False,Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?
cti_mcq_93,T1134.005,A,WEAK_SINGLE_SOURCE,A,True,4.0,B,0.5,3.5,0,1,6,False,Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?
cti_mcq_94,T1078.001,B,CONFLICTING_HIGH_SUPPORT,B,True,14.0,A,14.0,0.0,2,2,6,False,"In the context of T1078.001 Valid Accounts: Default Accounts, which malware leveraged default credentials to connect to IPC$ shares on remote machines?"
cti_mcq_95,T1078.001,C,UNSUPPORTED,C,True,0.8571,B,0.25,0.6071,0,0,6,False,"Based on T1078.001 Valid Accounts: Default Accounts, what is a recommended mitigation strategy to protect against the use of default credentials?"
cti_mcq_96,T1078.002,B,DECISIVE,B,True,14.0,D,0.5,13.5,1,1,6,True,Which technique ID corresponds with adversaries abusing domain accounts?
cti_mcq_97,T1078.002,A,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,Which detection method involves monitoring remote desktop logons and comparing them to known/approved originating systems to detect lateral movement?
cti_mcq_98,T1078.002,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,3,3,6,False,Which adversary group is known to use legitimate account credentials to move laterally through compromised environments?
cti_mcq_99,T1078.002,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,B,14.0,0.0,3,3,6,False,Which mitigation involves integrating multi-factor authentication (MFA) as part of organizational policy?
cti_mcq_100,T1078.002,A,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,What active event code should be monitored in Windows to track Security Logs for user login behaviors?
cti_mcq_101,T1078.002,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,2,2,6,False,Which adversary group leveraged valid accounts to deploy malware by obtaining highly privileged credentials such as domain administrator?
cti_mcq_102,T1078.003,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,3,3,6,False,Which of the following threat actors have been known to use local accounts for lateral movement during the SolarWinds Compromise?
cti_mcq_103,T1078.003,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,2,4,6,False,APT32 is known to use which type of account for their operations according to the examples?
cti_mcq_104,T1078.003,A,CONFLICTING_HIGH_SUPPORT,B,False,14.0,A,14.0,0.0,2,2,6,False,Which mitigation involves the implementation of LAPS to prevent the reuse of local administrator credentials?
cti_mcq_105,T1078.003,A,CONFLICTING_HIGH_SUPPORT,B,False,14.0,A,14.0,0.0,2,2,6,False,What data source should be monitored to detect multiple accounts logging into the same machine simultaneously?
cti_mcq_106,T1078.003,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which tool is used by Kimsuky to add a Windows admin account?
cti_mcq_107,T1125,A,AMBIGUOUS_MULTI_SOURCE,C,False,4.0,B,4.0,0.0,0,2,6,False,Which malware is specifically noted to record the user's webcam in macOS according to the technique ID T1125 - Video Capture?
cti_mcq_108,T1125,B,AMBIGUOUS_MULTI_SOURCE,D,False,4.0,B,4.0,0.0,0,2,6,False,Which data source and component combination is suggested for detecting the technique T1125 - Video Capture?
cti_mcq_109,T1125,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,C,14.0,0.0,4,4,6,False,Which malware from the provided examples can access a connected webcam and capture pictures?
cti_mcq_110,T1125,B,UNSUPPORTED,B,True,0.5,D,0.4,0.09999999999999998,0,0,6,False,How does the technique T1125 - Video Capture differ from Screen Capture in terms of execution?
cti_mcq_111,T1125,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which malware utilizes a custom video recording capability to monitor operations in the victim's environment?
cti_mcq_112,T1497,A,DECISIVE,A,True,14.0,D,0.0,14.0,1,1,6,True,Which of the following malware families has been documented to use anti-virtualization checks as part of Virtualization/Sandbox Evasion (T1497)?
cti_mcq_113,T1497,A,UNSUPPORTED,A,True,0.6667,D,0.0,0.6667,0,0,6,False,What is a common method used by adversaries to evade detection in sandbox environments according to T1497?
cti_mcq_114,T1497,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,3,3,6,False,"Which of the following malware samples is known to perform system checks to determine if the environment is running on VMware, as part of the technique T1497?"
cti_mcq_115,T1497,C,UNSUPPORTED,C,True,0.6667,A,0.2,0.46669999999999995,0,0,6,False,How can adversaries use sleep timers or loops in the context of Virtualization/Sandbox Evasion (T1497)?
cti_mcq_116,T1497,D,DECISIVE,B,False,14.0,D,4.0,10.0,1,2,6,True,"During Operation Spalax, what technique did threat actors use to evade anti-analysis checks?"
cti_mcq_117,T1497,B,DECISIVE,B,True,14.0,C,0.25,13.75,1,1,6,True,Which of the following is a detection source for identifying Virtualization/Sandbox Evasion (T1497) tactics?
cti_mcq_118,T1497.001,C,DECISIVE,C,True,14.0,D,0.5,13.5,1,1,6,True,What technique ID corresponds to Virtualization/Sandbox Evasion: System Checks?
cti_mcq_119,T1497.001,A,DECISIVE,A,True,14.0,D,0.5,13.5,1,1,6,True,Which of the following data sources can be monitored to detect commands that may employ virtualization/sandbox evasion techniques?
cti_mcq_120,T1497.001,C,WEAK_SINGLE_SOURCE,D,False,4.0,C,0.8,3.2,0,1,6,False,What behavior might Astaroth (S0373) use to evade virtualized environments?
cti_mcq_121,T1497.001,C,AMBIGUOUS_MULTI_SOURCE,C,True,4.0,A,4.0,0.0,0,2,6,False,Which of these malware samples checks the amount of physical memory to determine if it is being executed in a virtual environment?
cti_mcq_122,T1497.001,D,CONFLICTING_HIGH_SUPPORT,C,False,14.0,A,14.0,0.0,2,2,6,False,Which tool did Lazarus Group use during Operation Dream Job for VM/sandbox detection?
cti_mcq_123,T1497.002,A,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which malware is known to use the speed and frequency of mouse movements to determine if a real user is present on the system?
cti_mcq_124,T1497.002,C,UNSUPPORTED,C,True,0.6667,B,0.3333,0.3334,0,0,6,False,"In MITRE ATT&CK technique T1497.002, what kind of user activity might adversaries rely on before activating malicious code?"
cti_mcq_125,T1497.002,D,UNSUPPORTED,D,True,0.8333,A,0.3333,0.5,0,0,6,False,What data source and component can be monitored to detect actions related to API calls meant for virtualization and sandbox evasion?
cti_mcq_126,T1497.002,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which of the following groups uses a loader that executes the payload only after a specific user action to avoid virtualized environments?
cti_mcq_127,T1497.003,D,UNSUPPORTED,C,False,0.5,A,0.5,0.0,0,0,6,False,Which technique is commonly referred to as API hammering?
cti_mcq_128,T1497.003,D,CONFLICTING_HIGH_SUPPORT,C,False,14.0,B,14.0,0.0,3,3,6,False,Which procedure example uses NtDelayExecution for pausing execution?
cti_mcq_129,T1497.003,B,UNSUPPORTED,D,False,0.8333,B,0.6,0.23330000000000006,0,0,6,False,How does EvilBunny identify a sandbox through time-based evasion?
cti_mcq_130,T1497.003,C,CONFLICTING_HIGH_SUPPORT,D,False,14.0,B,14.0,0.0,2,2,6,False,Which malware example uses the kernel32.dll Sleep function to delay execution for up to 300 seconds?
cti_mcq_131,T1497.003,B,CONFLICTING_HIGH_SUPPORT,D,False,14.0,C,14.0,0.0,4,4,6,False,Which of the following employs a 30-minute delay after execution to evade sandbox monitoring tools?
cti_mcq_132,T1497.003,D,WEAK_SINGLE_SOURCE,D,True,4.0,A,0.6667,3.3333,0,1,6,False,How does Clop avoid sandbox detection?
cti_mcq_133,T1600.002,B,UNSUPPORTED,A,False,0.6667,D,0.0,0.6667,0,0,6,False,"Given the MITRE ATT&CK technique T1600.002 on Defense Evasion, which method is primarily used by adversaries to disable dedicated hardware encryption on network devices?"
cti_mcq_134,T1531,D,CONFLICTING_HIGH_SUPPORT,D,True,14.0,A,14.0,0.0,2,2,6,False,Which data component should be monitored to detect unexpected deletions of user accounts associated with T1531 (Account Access Removal) under the tactic of Impact?
cti_mcq_135,T1531,D,AMBIGUOUS_MULTI_SOURCE,C,False,4.0,B,4.0,0.0,0,2,6,False,Which procedure example under T1531 involves adversaries deleting administrator accounts prior to encryption?
cti_mcq_136,T1531,C,UNSUPPORTED,D,False,0.0,C,0.0,0.0,0,0,6,False,"When adversaries use the T1531 technique on Windows platforms, which PowerShell cmdlet might they use?"
cti_mcq_137,T1600.001,B,UNSUPPORTED,B,True,0.75,A,0.5,0.25,0,0,6,False,"In the context of MITRE ATT&CK Technique T1600.001 for Enterprise, which of the following activities could an adversary manipulate to facilitate decryption of data?"
cti_mcq_138,T1600.001,B,UNSUPPORTED,B,True,0.5,C,0.25,0.25,0,0,6,False,"Regarding detection for the MITRE ATT&CK Technique T1600.001 (Weaken Encryption: Reduce Key Space) on Enterprise platforms, which method can potentially identify this behavior?"
cti_mcq_139,T1102.001,B,UNSUPPORTED,B,True,0.1818,D,0.1667,0.015100000000000002,0,0,6,False,Adversaries using T1102.001: Web Service: Dead Drop Resolver often utilize popular websites and social media platforms to host C2 information. What is one reason this tactic is effective?
