idx,case_type,json_valid,parse_error,label,verifier_prediction,source_id_match,title_similarity,content_similarity,year_match,claimed_title,claimed_year,claimed_doi,claimed_arxiv_id,gold_title,research_question,raw_output
5,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,An ensemble learning-based framework for breast cancer prediction,How can machine learning models trained on gene expression data account for tissue-of-origin effects to avoid confounding when identifying cancer-specific biomarkers?,"{
  ""claimed_title"": ""An ensemble learning-based framework for breast cancer prediction"",
  ""claimed_year"": 2023,
  ""claimed_doi"": ""https://doi.org/10.1016/j.dajour.2023.100372"",
  ""claimed_arxiv_id"": ""1906.07794v1"",
  ""claimed_content"": ""Important cancer marker genes can be inferred through predictive model."""
5,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Symmetry and Topology in Non-Hermitian Physics,How can encircling multiple exceptional points and the resulting nonadiabatic cyclic geometric phases be detected experimentally in one-dimensional non-Hermitian systems?,"{
  ""claimed_title"": ""An ensemble learning-based framework for breast cancer prediction"",
  ""claimed_year"": 2023,
  ""claimed_doi"": ""https://doi.org/10.1016/j.dajour.2023.100372"",
  ""claimed_arxiv_id"": ""1906.07794v1"",
  ""claimed_content"": ""Important cancer marker genes can be inferred through predictive model."""
6,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Symmetry and Topology in Non-Hermitian Physics,How can encircling multiple exceptional points and the resulting nonadiabatic cyclic geometric phases be detected experimentally in one-dimensional non-Hermitian systems?,"assistant

{""claimed_title"": ""Symmetry and Topology in Non-Hermitian Systems"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1103/physrevx.9.041015"","
6,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/NF-B pathways and acute lung injury in vivo,How do precise measurements of the branching fractions for rare decays of neutral B mesons into muon pairs help constrain or rule out theories beyond the Standard Model?,"assistant

{""claimed_title"": ""Symmetry and Topology in Non-Hermitian Systems"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1103/physrevx.9.041015"","
7,source_conditioned_supported,False,Invalid control character at: line 1 column 136 (char 135),supported,hallucinated,False,0.0,0.0,False,,,,,Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/NF-B pathways and acute lung injury in vivo,How do precise measurements of the branching fractions for rare decays of neutral B mesons into muon pairs help constrain or rule out theories beyond the Standard Model?,"assistant

{""claimed_title"": ""Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/ NF-κB pathways and acute lung injury in vivo
{
  ""Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/ NF-κB pathways and acute lung injury in vivo
}"
7,shifted_source_negative,False,Invalid control character at: line 1 column 136 (char 135),hallucinated,hallucinated,False,0.0,0.0,False,,,,,Performance of neural network basecalling tools for Oxford Nanopore sequencing,"How do Random Neural Networks differ from conventional neural network models in their architecture and training dynamics, and in what kinds of supervised learning problems are they most advantageous to use?","assistant

{""claimed_title"": ""Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/ NF-κB pathways and acute lung injury in vivo
{
  ""Onychiol B attenuates lipopolysaccharide-induced inflammation via MAPK/ NF-κB pathways and acute lung injury in vivo
}"
8,source_conditioned_supported,True,,supported,supported,True,1.0,1.0,True,Performance of neural network basecalling tools for Oxford Nanopore sequencing,2019,https://doi.org/10.1186/s13059-019-1727-y,1609.04846v1,Performance of neural network basecalling tools for Oxford Nanopore sequencing,"How do Random Neural Networks differ from conventional neural network models in their architecture and training dynamics, and in what kinds of supervised learning problems are they most advantageous to use?","{""claimed_title"": ""Performance of neural network basecalling tools for Oxford Nanopore sequencing"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1186/s13059-019-1727-y"", ""claimed_arxiv_id"": ""1609.04846v1"", ""claimed_content"": ""Random Neural Networks (RNNs) are a class of Neural Networks (NNs) that can also be seen as a specific type of queuing network.""}"
8,shifted_source_negative,True,,hallucinated,hallucinated,False,0.36486486486486486,0.02263083451202263,False,Performance of neural network basecalling tools for Oxford Nanopore sequencing,2019,https://doi.org/10.1186/s13059-019-1727-y,1609.04846v1,Human health risk model for microplastic exposure in the Arctic region,"How well do Gaussian Process (GP) emulators scale to high-dimensional risk-factor spaces when approximating portfolio value functions, and what practical strategies can be used to mitigate the curse of dimensionality in ","{""claimed_title"": ""Performance of neural network basecalling tools for Oxford Nanopore sequencing"", ""claimed_year"": 2019, ""claimed_doi"": ""https://doi.org/10.1186/s13059-019-1727-y"", ""claimed_arxiv_id"": ""1609.04846v1"", ""claimed_content"": ""Random Neural Networks (RNNs) are a class of Neural Networks (NNs) that can also be seen as a specific type of queuing network.""}"
9,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Human health risk model for microplastic exposure in the Arctic region,"How well do Gaussian Process (GP) emulators scale to high-dimensional risk-factor spaces when approximating portfolio value functions, and what practical strategies can be used to mitigate the curse of dimensionality in ","assistant

{""claimed_title"": ""Human health effects of microplastic pollution in the Arctic region"", 
""claimed_year"": 2023,
""claimed_doi"": ""10.1016/j.scitotenv.2023.165. 
""claimed_doi"": ""10.1016j. scitotenv.2023.165. 
""claimed_content"": ""The impact of microplastic pollution on human health in the Arctic region."""
9,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,"Dulaglutide and cardiovascular outcomes in type 2 diabetes (REWIND): a double-blind, randomised placebo-controlled trial","How do precise measurements of the branching fractions for rare B meson decays into muon pairs constrain potential extensions of the Standard Model, and what types of new-physics scenarios are most affected by these meas","assistant

{""claimed_title"": ""Human health effects of microplastic pollution in the Arctic region"", 
""claimed_year"": 2023,
""claimed_doi"": ""10.1016/j.scitotenv.2023.165. 
""claimed_doi"": ""10.1016j. scitotenv.2023.165. 
""claimed_content"": ""The impact of microplastic pollution on human health in the Arctic region."""
10,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,"Dulaglutide and cardiovascular outcomes in type 2 diabetes (REWIND): a double-blind, randomised placebo-controlled trial","How do precise measurements of the branching fractions for rare B meson decays into muon pairs constrain potential extensions of the Standard Model, and what types of new-physics scenarios are most affected by these meas","assistant

{""claimed_title"": ""Dulaglutide and cardiovascular outcomes in type 2 diabetes"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1016/j.clinbiochem."
10,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Strain rate-dependent failure modelling of impact damage in laminated CFRP structures,How can assigning different impact or importance values to processes be used to improve failure detection and system resilience compared to traditional binary (suspected/not suspected) failure detectors?,"assistant

{""claimed_title"": ""Dulaglutide and cardiovascular outcomes in type 2 diabetes"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1016/j.clinbiochem."
11,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Strain rate-dependent failure modelling of impact damage in laminated CFRP structures,How can assigning different impact or importance values to processes be used to improve failure detection and system resilience compared to traditional binary (suspected/not suspected) failure detectors?,"assistant

{""claimed_title"": ""Strain rate-dependent failure modeling of impact damage in laminated composite materials"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1016/j.compstruct.2023.117.117. 
""claimed_doi"": ""https://arxiv.org/abs/1404.6415, 
""claimed_arxiv_id"": ""1404.6415, 
""claimed_content"": ""This work proposes a novel strain rate-dependent failure model for impact damage in laminated composite materials are widely used in various engineering applications, such as impact damage in composite materials
Author: 2023
DOI: https://doi.org/10.1016/j.computstruct.2023.117817
arXiv ID: arX.6415v1
""claimed_title"": ""Strain rate-dependent failure model for impact damage in laminated"
11,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,SciBERT: A Pretrained Language Model for Scientific Text,"How do precise measurements of rare decays such as B_s^0 ^+^- constrain theories beyond the Standard Model, and which classes of new-physics models are most strongly affected by these measurements?","assistant

{""claimed_title"": ""Strain rate-dependent failure modeling of impact damage in laminated composite materials"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1016/j.compstruct.2023.117.117. 
""claimed_doi"": ""https://arxiv.org/abs/1404.6415, 
""claimed_arxiv_id"": ""1404.6415, 
""claimed_content"": ""This work proposes a novel strain rate-dependent failure model for impact damage in laminated composite materials are widely used in various engineering applications, such as impact damage in composite materials
Author: 2023
DOI: https://doi.org/10.1016/j.computstruct.2023.117817
arXiv ID: arX.6415v1
""claimed_title"": ""Strain rate-dependent failure model for impact damage in laminated"
12,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,SciBERT: A Pretrained Language Model for Scientific Text,"How do precise measurements of rare decays such as B_s^0 ^+^- constrain theories beyond the Standard Model, and which classes of new-physics models are most strongly affected by these measurements?","assistant

{""claimed_title"": ""SciBERT: A Pre-trained Language Model for Scientific Text Classification"", 
""claimed_year"": 2020,
""claimed_doi"": ""10.1002.1186"",
""claimed_arxiv_id"": ""arX.1411.1
""claimed_content"": ""The first measurement of the branching fraction of the branching fraction of the $B^0\to K^0$"
12,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,"Social media influencers: literature review, trends and research agenda",What practical steps can universities take to both mitigate the risks of deepfakes and responsibly harness their potential benefits for teaching and learning?,"assistant

{""claimed_title"": ""SciBERT: A Pre-trained Language Model for Scientific Text Classification"", 
""claimed_year"": 2020,
""claimed_doi"": ""10.1002.1186"",
""claimed_arxiv_id"": ""arX.1411.1
""claimed_content"": ""The first measurement of the branching fraction of the branching fraction of the $B^0\to K^0$"
13,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,"Social media influencers: literature review, trends and research agenda",What practical steps can universities take to both mitigate the risks of deepfakes and responsibly harness their potential benefits for teaching and learning?,"assistant

{""claimed_title"": ""Social media influencers: literature review, trends and research agenda"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1109/ijcci.2023.001
""claimed_arxiv_id"": ""2404.15601v1
""claimed_content"": ""The availability of software which can produce convincing yet synthetic media poses both threats and opportunities for tertiary education."""
13,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,CutMix: Regularization Strategy to Train Strong Classifiers With Localizable Features,"What are the major technological and engineering challenges to conducting sustained, long-term exploration of Venus, and what approaches or technologies are being considered to address them?","assistant

{""claimed_title"": ""Social media influencers: literature review, trends and research agenda"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1109/ijcci.2023.001
""claimed_arxiv_id"": ""2404.15601v1
""claimed_content"": ""The availability of software which can produce convincing yet synthetic media poses both threats and opportunities for tertiary education."""
14,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,CutMix: Regularization Strategy to Train Strong Classifiers With Localizable Features,"What are the major technological and engineering challenges to conducting sustained, long-term exploration of Venus, and what approaches or technologies are being considered to address them?","{
  ""claimed_title"": ""CutMix: Regularization Strategy to Train Strong Classifiers With Localizable Features"",
  ""claimed_year"": ""2019"",
  ""claimed_doi"": ""https://doi.org/10.1109/iccv.2019.00612"",
  ""claimed_arxiv_id"": ""2412.06830v1"",
  ""claimed_content"": ""NASA develop scientific exploration strategies, as it has for Mars, in areas of broad scientific importance, e.g., Venus..."""
14,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Gamma sensory stimulation and effects on the brain,"What are the main sources of contamination and systematic error when trying to measure CMB B-mode polarization, and how can they be mitigated in ground-based experiments?","{
  ""claimed_title"": ""CutMix: Regularization Strategy to Train Strong Classifiers With Localizable Features"",
  ""claimed_year"": ""2019"",
  ""claimed_doi"": ""https://doi.org/10.1109/iccv.2019.00612"",
  ""claimed_arxiv_id"": ""2412.06830v1"",
  ""claimed_content"": ""NASA develop scientific exploration strategies, as it has for Mars, in areas of broad scientific importance, e.g., Venus..."""
15,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Gamma sensory stimulation and effects on the brain,"What are the main sources of contamination and systematic error when trying to measure CMB B-mode polarization, and how can they be mitigated in ground-based experiments?","assistant

{""claimed_title"": ""Gamma sensory stimulation and effects on the brain"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1101/2023.10.1101/2023.10.110.1101, claimed_content: ""The characterisation of CMB polarisation is one of the next challenge in observationnal cosmology. 

{
""claimed_title"": ""Gamma sensory stimulation and effects on the brain"",
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1101/2023.10.1101
""claimed_doi"": ""10.1101/2023.10.1101.1101
""claimed_arxiv_id"": ""gr-qc.1101
""claimed_content"": ""of CMB polarisation is one of the next challenge in observationnal cosmology."""
15,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Journal of Coastal Research,"How can environmental and satellite-derived data be used to build operational early-warning systems for cholera and other waterborne diseases, and what are the main limitations and challenges in implementing such systems","assistant

{""claimed_title"": ""Gamma sensory stimulation and effects on the brain"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1101/2023.10.1101/2023.10.110.1101, claimed_content: ""The characterisation of CMB polarisation is one of the next challenge in observationnal cosmology. 

{
""claimed_title"": ""Gamma sensory stimulation and effects on the brain"",
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.1101/2023.10.1101
""claimed_doi"": ""10.1101/2023.10.1101.1101
""claimed_arxiv_id"": ""gr-qc.1101
""claimed_content"": ""of CMB polarisation is one of the next challenge in observationnal cosmology."""
16,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Journal of Coastal Research,"How can environmental and satellite-derived data be used to build operational early-warning systems for cholera and other waterborne diseases, and what are the main limitations and challenges in implementing such systems","{
  ""claimed_title"": ""Journal of Coastal Research"",
  ""claimed_year"": 2019,
  ""claimed_doi"": ""https://doi.org/10.2112/coas"",
  ""claimed_arxiv_id"": ""1506.01757v1"",
  ""claimed_content"": ""Further understanding of the role of environmental factors in potential pathogen distribution and corresponding V. cholerae disease transmission over time and space is urgently needed to target surveillance of cholera and other climate and water-sensitive diseases."""
16,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Flipping the world upside down: Using eye tracking in virtual reality to study visual search in inverted scenes,"How reliably can eye-tracking metrics (e.g., fixation durations and reading-sequence lengths) be used to predict or assess a users learning or knowledge gain during online search tasks?","{
  ""claimed_title"": ""Journal of Coastal Research"",
  ""claimed_year"": 2019,
  ""claimed_doi"": ""https://doi.org/10.2112/coas"",
  ""claimed_arxiv_id"": ""1506.01757v1"",
  ""claimed_content"": ""Further understanding of the role of environmental factors in potential pathogen distribution and corresponding V. cholerae disease transmission over time and space is urgently needed to target surveillance of cholera and other climate and water-sensitive diseases."""
17,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Flipping the world upside down: Using eye tracking in virtual reality to study visual search in inverted scenes,"How reliably can eye-tracking metrics (e.g., fixation durations and reading-sequence lengths) be used to predict or assess a users learning or knowledge gain during online search tasks?","assistant

{""claimed_title"": ""Flipping the world upside down: Using eye-tracking in virtual reality to study visual search in inverted scenes"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.16910.16910.16910.16910.16910.169, claimed_arxiv_id"""
17,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Intersectionality as Critical Social Theory,"How can a recommender system effectively combine multiple types of social and semantic relationships (different network layers) to generate personalized suggestions, and how are the relative importance or weights of thos","assistant

{""claimed_title"": ""Flipping the world upside down: Using eye-tracking in virtual reality to study visual search in inverted scenes"", 
""claimed_year"": 2023,
""claimed_doi"": ""https://doi.org/10.16910.16910.16910.16910.16910.169, claimed_arxiv_id"""
18,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Intersectionality as Critical Social Theory,"How can a recommender system effectively combine multiple types of social and semantic relationships (different network layers) to generate personalized suggestions, and how are the relative importance or weights of thos","assistant

{""claimed_title"": ""Intersectionality as Critical Social Theory"", ""claimed_year"": 2019,""claimed_doi"": ""https://doi.org/10.1215/9781478007098"", ""claimed_arxiv_id"": ""1303.0093v1"""
18,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,"The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals","How do crystal defects (e.g., vacancies) and strain influence exciton decay pathways and luminescence in semiconductors, and in what ways can annealing modify these defects to restore or change excitonic optical properti","assistant

{""claimed_title"": ""Intersectionality as Critical Social Theory"", ""claimed_year"": 2019,""claimed_doi"": ""https://doi.org/10.1215/9781478007098"", ""claimed_arxiv_id"": ""1303.0093v1"""
19,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,"The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals","How do crystal defects (e.g., vacancies) and strain influence exciton decay pathways and luminescence in semiconductors, and in what ways can annealing modify these defects to restore or change excitonic optical properti","assistant

{""claimed_title"": ""The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals"", ""claimed_year"": 2023, ""claimed_doi"": ""https://doi.org/10.1016/jallcom. ""claimed_arxiv_id"": ""1412.2707v1"", ""claimed_content"": ""The various decay mechanisms of excitons in cuprous oxide (Cu2O) are highly sensitive to defects which can relax selection rules. Here we report cryogenic hyperspectral imaging of exciton luminescence in cuprous oxide (Cu2O) crystals
Source record: 
Title: The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals
DOI: https://doi.org/10.1016/jallcom.2707
arXiv ID"
19,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,"Tumor angiogenesis: causes, consequences, challenges and opportunities",What are the main challenges in adapting a large-scale parallel file system to efficiently support both traditional bursty HPC checkpointing workloads and modern diverse Big Data analytics workloads?,"assistant

{""claimed_title"": ""The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals"", ""claimed_year"": 2023, ""claimed_doi"": ""https://doi.org/10.1016/jallcom. ""claimed_arxiv_id"": ""1412.2707v1"", ""claimed_content"": ""The various decay mechanisms of excitons in cuprous oxide (Cu2O) are highly sensitive to defects which can relax selection rules. Here we report cryogenic hyperspectral imaging of exciton luminescence in cuprous oxide (Cu2O) crystals
Source record: 
Title: The effect of Pr3+ concentration on the microstructure, luminescence and scintillation properties of Pr:LuAG single crystals
DOI: https://doi.org/10.1016/jallcom.2707
arXiv ID"
20,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,"Tumor angiogenesis: causes, consequences, challenges and opportunities",What are the main challenges in adapting a large-scale parallel file system to efficiently support both traditional bursty HPC checkpointing workloads and modern diverse Big Data analytics workloads?,"assistant

{""claimed_title"": ""Tumor angiogenesis: causes, consequences, challenges and opportunities"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1007/s13269-019-0005
""claimed_content"": ""The Lustre file system has been widely adopted by high-performance computing (HPC) centers as an effective system for managing large-scale storage resources."""
20,shifted_source_negative,False,no_json_object,hallucinated,hallucinated,False,0.0,0.0,False,,,,,Dipodal Silanes Greatly Stabilize Glass Surface Functionalization for DNA Microarray Synthesis and High-Throughput Biological Assays,"How does long-term exposure to humidity or adsorbed water change the wettability and surface chemistry of silanized glass surfaces, and what storage conditions best preserve their hydrophobicity?","assistant

{""claimed_title"": ""Tumor angiogenesis: causes, consequences, challenges and opportunities"", 
""claimed_year"": 2019,
""claimed_doi"": ""https://doi.org/10.1007/s13269-019-0005
""claimed_content"": ""The Lustre file system has been widely adopted by high-performance computing (HPC) centers as an effective system for managing large-scale storage resources."""
21,source_conditioned_supported,False,no_json_object,supported,hallucinated,False,0.0,0.0,False,,,,,Dipodal Silanes Greatly Stabilize Glass Surface Functionalization for DNA Microarray Synthesis and High-Throughput Biological Assays,"How does long-term exposure to humidity or adsorbed water change the wettability and surface chemistry of silanized glass surfaces, and what storage conditions best preserve their hydrophobicity?","assistant

{""claimed_title"": ""Dipodal Silanes Greatly Stabilize Glass Surface Functionalization for DNA Microarray Synthesis and High-Throughput Biological Assays
{""claimed_title"": ""Dipodal Silanes Greatly Stabilize Glass Surface Functionalization for DNA Microarray Synthesis and claimed_content

{""claimed_title"": ""Dipodal Silanes Greatly Stabilize Glass Surface Functionalization for DNA Microarray Synthesis and High-Throughput Biological Assays"","
